alpha_plan,alpha,paired_dz,required_complete_n,achieved_power_mc,recruit_with_15pct_buffer
single_primary,0.05,0.3,90,0.809,106
single_primary,0.05,0.4,51,0.8018,60
single_primary,0.05,0.5,34,0.8073,40
single_primary,0.05,0.6,25,0.814,30
single_primary,0.05,0.7,19,0.8289,23
six_tests_bonferroni,0.008333333333333333,0.3,137,0.8006,162
six_tests_bonferroni,0.008333333333333333,0.4,80,0.8057,95
six_tests_bonferroni,0.008333333333333333,0.5,53,0.813,63
six_tests_bonferroni,0.008333333333333333,0.6,38,0.8077,45
six_tests_bonferroni,0.008333333333333333,0.7,29,0.8173,35
