feature,paired_participants,cr_mean,non_cr_mean,mean_difference_cr_minus_non_cr,paired_dz
rt_answer(A),6,3.5965360444444445,3.270044066666666,0.3264919777777777,0.17537969663576583
rt_conf(C),6,2.9005660888888887,2.3111536444444445,0.5894124444444445,0.5919006668323937
maxAbsVel,6,30.370829722222222,26.337892155555554,4.032937566666667,0.1343485525642245
maxAbsVel(C),6,14.514290644444444,14.506068666666666,0.008221977777776187,0.0005931458856452649
totalAbsAngle,6,97.55555455555556,90.888888,6.666666555555559,0.23847406241285377
totalAbsAngle(C),6,84.66666666666667,68.66666666666667,16.0,0.518999296107682
reverseCount,6,1.1888888888888889,0.8999999999999999,0.28888888888888886,0.4873325082329961
reverseCount(C),6,0.7555555555555555,0.3777777777777778,0.37777777777777777,0.9020122649532689
microAdjustCount,6,0.4444444444444445,0.36666666666666664,0.07777777777777779,0.23931099477596904
microAdjustCount(C),6,0.28888888888888886,0.1111111111111111,0.17777777777777778,0.7492686492653553
fastFlickCount,6,0.27777777777777773,0.26666666666666666,0.01111111111111109,0.028853090519055827
fastFlickCount(C),6,0.15555555555555556,0.26666666666666666,-0.11111111111111112,-0.28471662021420485
